Time,[新设备1] 温度1,[新设备1] 灯1-8
2026-01-13 09:42:40.440,15,8336
2026-01-13 09:42:40.546,15,8337
2026-01-13 09:42:40.655,15,8337
2026-01-13 09:42:40.765,15,8337
2026-01-13 09:42:40.875,15,8337
2026-01-13 09:42:40.987,15,8338
2026-01-13 09:42:41.094,15,8338
2026-01-13 09:42:41.259,15,8338
2026-01-13 09:42:41.314,15,8338
2026-01-13 09:42:41.423,15,8338
2026-01-13 09:42:41.531,15,8339
2026-01-13 09:42:41.644,15,8339
2026-01-13 09:42:41.751,15,8339
2026-01-13 09:42:41.859,15,8339
2026-01-13 09:42:41.972,15,8340
2026-01-13 09:42:42.078,15,8340
2026-01-13 09:42:42.203,15,8340
2026-01-13 09:42:42.297,15,8340
2026-01-13 09:42:42.411,15,8340
2026-01-13 09:42:42.515,15,8341
2026-01-13 09:42:42.626,15,8341
2026-01-13 09:42:42.734,15,8341
2026-01-13 09:42:42.845,15,8341
2026-01-13 09:42:42.953,15,8341
2026-01-13 09:42:43.066,15,8341
2026-01-13 09:42:43.177,15,8342
2026-01-13 09:42:43.297,15,8342
2026-01-13 09:42:43.391,15,8342
2026-01-13 09:42:43.499,15,8342
2026-01-13 09:42:43.609,15,8342
2026-01-13 09:42:43.721,15,8343
2026-01-13 09:42:43.831,15,8343
2026-01-13 09:42:43.939,15,8343
2026-01-13 09:42:44.048,15,8343
2026-01-13 09:42:44.183,15,8344
2026-01-13 09:42:44.265,15,8344
2026-01-13 09:42:44.377,15,8344
2026-01-13 09:42:44.487,15,8344
2026-01-13 09:42:44.596,15,8344
2026-01-13 09:42:44.702,15,8345
2026-01-13 09:42:44.812,15,8345
2026-01-13 09:42:44.921,15,8345
2026-01-13 09:42:45.035,15,8345
2026-01-13 09:42:45.148,15,8346
2026-01-13 09:42:45.253,15,8346
2026-01-13 09:42:45.359,15,8346
2026-01-13 09:42:45.473,15,8346
2026-01-13 09:42:45.580,15,8346
2026-01-13 09:42:45.688,15,8347
2026-01-13 09:42:45.798,15,8347
2026-01-13 09:42:45.909,15,8347
